,base_date,판매수량
0,2014-12-29,8.0
1,2015-01-05,15.0
2,2015-01-12,9.0
3,2015-01-19,9.0
4,2015-01-26,8.0
5,2015-02-02,32.0
6,2015-02-09,15.0
7,2015-02-16,11.0
8,2015-02-23,55.0
9,2015-03-02,34.0
10,2015-03-09,58.0
11,2015-03-16,107.0
12,2015-03-23,170.0
13,2015-03-30,141.0
14,2015-04-06,252.0
15,2015-04-13,175.0
16,2015-04-20,341.0
17,2015-04-27,434.0
18,2015-05-04,386.0
19,2015-05-11,408.0
20,2015-05-18,407.0
21,2015-05-25,360.0
22,2015-06-01,302.0
23,2015-06-08,357.0
24,2015-06-15,319.0
25,2015-06-22,326.0
26,2015-06-29,502.0
27,2015-07-06,359.0
28,2015-07-13,384.0
29,2015-07-20,293.0
30,2015-07-27,394.0
31,2015-08-03,333.0
32,2015-08-10,359.0
33,2015-08-17,418.0
34,2015-08-24,277.0
35,2015-08-31,277.0
36,2015-09-07,179.0
37,2015-09-14,207.0
38,2015-09-21,118.0
39,2015-09-28,135.0
40,2015-10-05,121.0
41,2015-10-12,81.0
42,2015-10-19,49.0
43,2015-10-26,49.0
44,2015-11-02,46.0
45,2015-11-09,26.0
46,2015-11-16,28.0
47,2015-11-23,18.0
48,2015-11-30,27.0
49,2015-12-07,16.0
50,2015-12-14,17.0
51,2015-12-21,12.0
52,2015-12-28,15.0
53,2016-01-04,7.0
54,2016-01-11,12.0
55,2016-01-18,9.0
56,2016-01-25,15.0
57,2016-02-01,23.0
58,2016-02-08,38.0
59,2016-02-15,73.0
60,2016-02-22,79.0
61,2016-02-29,107.0
62,2016-03-07,144.0
63,2016-03-14,212.0
64,2016-03-21,229.0
65,2016-03-28,246.0
66,2016-04-04,255.0
67,2016-04-11,339.0
68,2016-04-18,304.0
69,2016-04-25,322.0
70,2016-05-02,344.0
71,2016-05-09,347.0
72,2016-05-16,495.0
73,2016-05-23,469.0
74,2016-05-30,379.0
75,2016-06-06,487.0
76,2016-06-13,532.0
77,2016-06-20,531.0
78,2016-06-27,517.0
79,2016-07-04,539.0
80,2016-07-11,561.0
81,2016-07-18,545.0
82,2016-07-25,577.0
83,2016-08-01,466.0
84,2016-08-08,480.0
85,2016-08-15,441.0
86,2016-08-22,457.0
87,2016-08-29,350.0
88,2016-09-05,356.0
89,2016-09-12,208.0
90,2016-09-19,379.0
91,2016-09-26,254.0
92,2016-10-03,216.0
93,2016-10-10,126.0
94,2016-10-17,113.0
95,2016-10-24,75.0
96,2016-10-31,41.0
97,2016-11-07,58.0
98,2016-11-14,55.0
99,2016-11-21,32.0
100,2016-11-28,28.0
101,2016-12-05,28.0
102,2016-12-12,46.0
103,2016-12-19,48.0
104,2016-12-26,50.0
105,2017-01-02,51.0
106,2017-01-09,36.0
107,2017-01-16,122.0
108,2017-01-23,57.0
109,2017-01-30,88.0
110,2017-02-06,163.0
111,2017-02-13,289.0
112,2017-02-20,193.0
113,2017-02-27,505.0
114,2017-03-06,410.0
115,2017-03-13,468.0
116,2017-03-20,669.0
117,2017-03-27,480.0
118,2017-04-03,763.0
119,2017-04-10,836.0
120,2017-04-17,595.0
121,2017-04-24,864.0
122,2017-05-01,514.0
123,2017-05-08,639.0
124,2017-05-15,755.0
125,2017-05-22,727.0
126,2017-05-29,702.0
127,2017-06-05,702.0
128,2017-06-12,1099.0
129,2017-06-19,1002.0
130,2017-06-26,1014.0
131,2017-07-03,1013.0
132,2017-07-10,1183.0
133,2017-07-17,1011.0
134,2017-07-24,842.0
135,2017-07-31,698.0
136,2017-08-07,729.0
137,2017-08-14,513.0
138,2017-08-21,614.0
139,2017-08-28,615.0
140,2017-09-04,660.0
141,2017-09-11,485.0
142,2017-09-18,460.0
143,2017-09-25,372.0
144,2017-10-02,172.0
145,2017-10-09,240.0
146,2017-10-16,247.0
147,2017-10-23,135.0
148,2017-10-30,132.0
149,2017-11-06,65.0
150,2017-11-13,52.0
151,2017-11-20,19.0
152,2017-11-27,25.0
153,2017-12-04,25.0
154,2017-12-11,3.0
155,2017-12-18,38.0
156,2017-12-25,20.0
157,2018-01-01,45.0
158,2018-01-08,95.0
159,2018-01-15,129.0
160,2018-01-22,131.0
161,2018-01-29,235.0
162,2018-02-05,139.0
163,2018-02-12,106.0
164,2018-02-19,269.0
165,2018-02-26,319.0
166,2018-03-05,442.0
167,2018-03-12,606.0
168,2018-03-19,544.0
169,2018-03-26,694.0
170,2018-04-02,656.0
171,2018-04-09,783.0
172,2018-04-16,759.0
173,2018-04-23,687.0
174,2018-04-30,646.0
175,2018-05-07,741.0
176,2018-05-14,822.0
177,2018-05-21,812.0
178,2018-05-28,803.0
179,2018-06-04,737.0
180,2018-06-11,1082.0
181,2018-06-18,1056.0
182,2018-06-25,1031.0
183,2018-07-02,989.0
184,2018-07-09,1058.0
185,2018-07-16,1146.0
186,2018-07-23,1035.0
187,2018-07-30,913.0
188,2018-08-06,830.0
189,2018-08-13,1025.0
190,2018-08-20,798.0
191,2018-08-27,823.0
192,2018-09-03,672.0
193,2018-09-10,799.0
194,2018-09-17,525.0
195,2018-09-24,435.0
196,2018-10-01,644.0
197,2018-10-08,268.0
198,2018-10-15,221.0
199,2018-10-22,144.0
200,2018-10-29,126.0
201,2018-11-05,130.0
202,2018-11-12,59.0
203,2018-11-19,28.0
204,2018-11-26,42.0
205,2018-12-03,27.0
206,2018-12-10,26.0
207,2018-12-17,30.0
208,2018-12-24,29.0
209,2018-12-31,24.0
210,2019-01-07,40.0
211,2019-01-14,68.0
212,2019-01-21,100.0
213,2019-01-28,104.0
214,2019-02-04,92.0
215,2019-02-11,166.0
216,2019-02-18,221.0
217,2019-02-25,347.0
218,2019-03-04,412.0
219,2019-03-11,595.0
220,2019-03-18,577.0
221,2019-03-25,711.0
222,2019-04-01,536.0
223,2019-04-08,650.0
224,2019-04-15,752.0
225,2019-04-22,786.0
226,2019-04-29,675.0
227,2019-05-06,895.0
228,2019-05-13,873.0
229,2019-05-20,930.0
230,2019-05-27,812.0
231,2019-06-03,853.0
232,2019-06-10,1091.0
233,2019-06-17,1040.0
234,2019-06-24,914.0
235,2019-07-01,1047.0
236,2019-07-08,1071.0
237,2019-07-15,962.0
238,2019-07-22,851.0
239,2019-07-29,733.0
240,2019-08-05,716.0
241,2019-08-12,739.0
242,2019-08-19,614.0
243,2019-08-26,792.0
244,2019-09-02,721.0
245,2019-09-09,500.0
246,2019-09-16,608.0
247,2019-09-23,630.0
248,2019-09-30,743.0
249,2019-10-07,409.0
250,2019-10-14,453.0
251,2019-10-21,302.0
252,2019-10-28,219.0
253,2019-11-04,251.0
254,2019-11-11,87.0
255,2019-11-18,109.0
256,2019-11-25,108.0
257,2019-12-02,82.0
258,2019-12-09,61.0
259,2019-12-16,77.0
260,2019-12-23,93.0
261,2019-12-30,44.0
262,2020-01-06,62.0
263,2020-01-13,55.0
264,2020-01-20,65.0
265,2020-01-27,127.0
266,2020-02-03,264.0
267,2020-02-10,266.0
268,2020-02-17,206.0
269,2020-02-24,142.0
270,2020-03-02,232.0
271,2020-03-09,238.0
272,2020-03-16,228.0
273,2020-03-23,277.0
274,2020-03-30,271.0
275,2020-04-06,308.0
276,2020-04-13,361.0
277,2020-04-20,462.0
278,2020-04-27,503.0
279,2020-05-04,742.0
280,2020-05-11,631.0
281,2020-05-18,821.0
282,2020-05-25,519.0
283,2020-06-01,700.0
284,2020-06-08,649.0
285,2020-06-15,523.0
286,2020-06-22,935.0
287,2020-06-29,636.0
288,2020-07-06,686.0
289,2020-07-13,586.0
290,2020-07-20,534.0
291,2020-07-27,601.0
292,2020-08-03,454.0
293,2020-08-10,524.0
294,2020-08-17,494.0
295,2020-08-24,510.0
296,2020-08-31,429.0
297,2020-09-07,485.0
298,2020-09-14,450.0
299,2020-09-21,555.0
300,2020-09-28,210.0
301,2020-10-05,303.0
302,2020-10-12,226.0
303,2020-10-19,152.0
304,2020-10-26,129.0
305,2020-11-02,86.0
306,2020-11-09,77.0
307,2020-11-16,57.0
308,2020-11-23,58.0
309,2020-11-30,48.0
310,2020-12-07,58.0
311,2020-12-14,26.0
312,2020-12-21,34.0
313,2020-12-28,26.0
314,2021-01-04,98.0
315,2021-01-11,59.0
316,2021-01-18,102.0
317,2021-01-25,150.0
318,2021-02-01,219.0
319,2021-02-08,166.0
320,2021-02-15,212.0
321,2021-02-22,339.0
322,2021-03-01,451.0
323,2021-03-08,497.0
324,2021-03-15,590.0
325,2021-03-22,502.0
326,2021-03-29,534.0
327,2021-04-05,539.0
328,2021-04-12,554.0
329,2021-04-19,741.0
330,2021-04-26,592.0
331,2021-05-03,626.0
332,2021-05-10,597.0
333,2021-05-17,873.0
334,2021-05-24,724.0
335,2021-05-31,817.0
336,2021-06-07,695.0
337,2021-06-14,753.0
338,2021-06-21,769.0
339,2021-06-28,795.0
340,2021-07-05,717.0
341,2021-07-12,624.0
342,2021-07-19,657.0
343,2021-07-26,622.0
344,2021-08-02,442.0
345,2021-08-09,470.0
346,2021-08-16,417.0
347,2021-08-23,501.0
348,2021-08-30,553.0
349,2021-09-06,403.0
350,2021-09-13,331.0
351,2021-09-20,333.0
352,2021-09-27,418.0
353,2021-10-04,383.0
354,2021-10-11,240.0
355,2021-10-18,108.0
356,2021-10-25,120.0
357,2021-11-01,14.0
358,2021-11-08,77.0
359,2021-11-15,73.0
360,2021-11-22,38.0
361,2021-11-29,32.0
362,2021-12-06,43.0
363,2021-12-13,41.0
364,2021-12-20,83.0
365,2021-12-27,162.0
366,2022-01-03,46.0
367,2022-01-10,139.0
368,2022-01-17,135.0
369,2022-01-24,106.0
370,2022-01-31,84.0
371,2022-02-07,110.0
372,2022-02-14,159.0
373,2022-02-21,149.0
374,2022-02-28,221.0
375,2022-03-07,324.0
376,2022-03-14,297.0
377,2022-03-21,348.0
378,2022-03-28,371.0
379,2022-04-04,418.0
380,2022-04-11,439.0
381,2022-04-18,550.0
382,2022-04-25,544.0
383,2022-05-02,581.0
384,2022-05-09,634.0
385,2022-05-16,783.0
386,2022-05-23,791.0
387,2022-05-30,784.0
388,2022-06-06,743.0
389,2022-06-13,934.0
390,2022-06-20,885.0
391,2022-06-27,804.0
392,2022-07-04,771.0
393,2022-07-11,696.0
394,2022-07-18,713.0
395,2022-07-25,517.0
