,base_date,판매수량
0,2014-12-29,18.0
1,2015-01-05,101.0
2,2015-01-12,89.0
3,2015-01-19,92.0
4,2015-01-26,144.0
5,2015-02-02,127.0
6,2015-02-09,125.0
7,2015-02-16,60.0
8,2015-02-23,155.0
9,2015-03-02,147.0
10,2015-03-09,122.0
11,2015-03-16,79.0
12,2015-03-23,164.0
13,2015-03-30,89.0
14,2015-04-06,156.0
15,2015-04-13,66.0
16,2015-04-20,91.0
17,2015-04-27,40.0
18,2015-05-04,54.0
19,2015-05-11,42.0
20,2015-05-18,44.0
21,2015-05-25,29.0
22,2015-06-01,16.0
23,2015-06-08,5.0
24,2015-06-15,7.0
25,2015-06-22,11.0
26,2015-06-29,17.0
27,2015-07-06,10.0
28,2015-07-13,14.0
29,2015-07-20,5.0
30,2015-07-27,15.0
31,2015-08-03,7.0
32,2015-08-10,24.0
33,2015-08-17,56.0
34,2015-08-24,34.0
35,2015-08-31,85.0
36,2015-09-07,99.0
37,2015-09-14,45.0
38,2015-09-21,84.0
39,2015-09-28,63.0
40,2015-10-05,197.0
41,2015-10-12,115.0
42,2015-10-19,139.0
43,2015-10-26,83.0
44,2015-11-02,139.0
45,2015-11-09,116.0
46,2015-11-16,178.0
47,2015-11-23,125.0
48,2015-11-30,157.0
49,2015-12-07,112.0
50,2015-12-14,139.0
51,2015-12-21,99.0
52,2015-12-28,55.0
53,2016-01-04,122.0
54,2016-01-11,79.0
55,2016-01-18,81.0
56,2016-01-25,106.0
57,2016-02-01,105.0
58,2016-02-08,98.0
59,2016-02-15,144.0
60,2016-02-22,158.0
61,2016-02-29,112.0
62,2016-03-07,154.0
63,2016-03-14,133.0
64,2016-03-21,68.0
65,2016-03-28,98.0
66,2016-04-04,51.0
67,2016-04-11,67.0
68,2016-04-18,59.0
69,2016-04-25,58.0
70,2016-05-02,69.0
71,2016-05-09,60.0
72,2016-05-16,42.0
73,2016-05-23,37.0
74,2016-05-30,21.0
75,2016-06-06,17.0
76,2016-06-13,16.0
77,2016-06-20,13.0
78,2016-06-27,31.0
79,2016-07-04,19.0
80,2016-07-11,13.0
81,2016-07-18,13.0
82,2016-07-25,9.0
83,2016-08-01,7.0
84,2016-08-08,12.0
85,2016-08-15,11.0
86,2016-08-22,54.0
87,2016-08-29,46.0
88,2016-09-05,44.0
89,2016-09-12,47.0
90,2016-09-19,62.0
91,2016-09-26,63.0
92,2016-10-03,80.0
93,2016-10-10,131.0
94,2016-10-17,113.0
95,2016-10-24,130.0
96,2016-10-31,122.0
97,2016-11-07,148.0
98,2016-11-14,198.0
99,2016-11-21,152.0
100,2016-11-28,220.0
101,2016-12-05,163.0
102,2016-12-12,136.0
103,2016-12-19,205.0
104,2016-12-26,105.0
105,2017-01-02,175.0
106,2017-01-09,166.0
107,2017-01-16,228.0
108,2017-01-23,71.0
109,2017-01-30,148.0
110,2017-02-06,221.0
111,2017-02-13,183.0
112,2017-02-20,166.0
113,2017-02-27,150.0
114,2017-03-06,155.0
115,2017-03-13,165.0
116,2017-03-20,180.0
117,2017-03-27,97.0
118,2017-04-03,79.0
119,2017-04-10,81.0
120,2017-04-17,38.0
121,2017-04-24,73.0
122,2017-05-01,54.0
123,2017-05-08,72.0
124,2017-05-15,156.0
125,2017-05-22,87.0
126,2017-05-29,83.0
127,2017-06-05,57.0
128,2017-06-12,81.0
129,2017-06-19,62.0
130,2017-06-26,101.0
131,2017-07-03,38.0
132,2017-07-10,69.0
133,2017-07-17,36.0
134,2017-07-24,54.0
135,2017-07-31,52.0
