,base_date,판매수량
0,2014-12-29,2.0
1,2015-01-05,23.0
2,2015-01-12,31.0
3,2015-01-19,27.0
4,2015-01-26,64.0
5,2015-02-02,46.0
6,2015-02-09,59.0
7,2015-02-16,50.0
8,2015-02-23,178.0
9,2015-03-02,165.0
10,2015-03-09,180.0
11,2015-03-16,167.0
12,2015-03-23,174.0
13,2015-03-30,124.0
14,2015-04-06,152.0
15,2015-04-13,107.0
16,2015-04-20,169.0
17,2015-04-27,136.0
18,2015-05-04,129.0
19,2015-05-11,136.0
20,2015-05-18,132.0
21,2015-05-25,152.0
22,2015-06-01,64.0
23,2015-06-08,80.0
24,2015-06-15,78.0
25,2015-06-22,65.0
26,2015-06-29,81.0
27,2015-07-06,76.0
28,2015-07-13,77.0
29,2015-07-20,44.0
30,2015-07-27,39.0
31,2015-08-03,47.0
32,2015-08-10,47.0
33,2015-08-17,106.0
34,2015-08-24,67.0
35,2015-08-31,73.0
36,2015-09-07,96.0
37,2015-09-14,113.0
38,2015-09-21,71.0
39,2015-09-28,93.0
40,2015-10-05,85.0
41,2015-10-12,123.0
42,2015-10-19,97.0
43,2015-10-26,68.0
44,2015-11-02,67.0
45,2015-11-09,41.0
46,2015-11-16,35.0
47,2015-11-23,30.0
48,2015-11-30,27.0
49,2015-12-07,11.0
50,2015-12-14,30.0
51,2015-12-21,20.0
52,2015-12-28,20.0
53,2016-01-04,30.0
54,2016-01-11,33.0
55,2016-01-18,21.0
56,2016-01-25,33.0
57,2016-02-01,45.0
58,2016-02-08,44.0
59,2016-02-15,68.0
60,2016-02-22,98.0
61,2016-02-29,102.0
62,2016-03-07,202.0
63,2016-03-14,236.0
64,2016-03-21,187.0
65,2016-03-28,252.0
66,2016-04-04,240.0
67,2016-04-11,245.0
68,2016-04-18,160.0
69,2016-04-25,136.0
70,2016-05-02,155.0
71,2016-05-09,172.0
72,2016-05-16,137.0
73,2016-05-23,133.0
74,2016-05-30,91.0
75,2016-06-06,105.0
76,2016-06-13,88.0
77,2016-06-20,73.0
78,2016-06-27,84.0
79,2016-07-04,53.0
80,2016-07-11,43.0
81,2016-07-18,65.0
82,2016-07-25,38.0
83,2016-08-01,38.0
84,2016-08-08,65.0
85,2016-08-15,34.0
86,2016-08-22,88.0
87,2016-08-29,95.0
88,2016-09-05,88.0
89,2016-09-12,62.0
90,2016-09-19,131.0
91,2016-09-26,142.0
92,2016-10-03,151.0
93,2016-10-10,174.0
94,2016-10-17,116.0
95,2016-10-24,79.0
96,2016-10-31,69.0
97,2016-11-07,58.0
98,2016-11-14,55.0
99,2016-11-21,41.0
100,2016-11-28,13.0
101,2016-12-05,39.0
102,2016-12-12,48.0
103,2016-12-19,45.0
104,2016-12-26,26.0
105,2017-01-02,55.0
106,2017-01-09,52.0
107,2017-01-16,138.0
108,2017-01-23,61.0
109,2017-01-30,120.0
110,2017-02-06,159.0
111,2017-02-13,356.0
112,2017-02-20,218.0
113,2017-02-27,418.0
114,2017-03-06,209.0
115,2017-03-13,202.0
116,2017-03-20,269.0
117,2017-03-27,203.0
118,2017-04-03,248.0
119,2017-04-10,262.0
120,2017-04-17,220.0
121,2017-04-24,314.0
122,2017-05-01,156.0
123,2017-05-08,207.0
124,2017-05-15,231.0
125,2017-05-22,173.0
126,2017-05-29,117.0
127,2017-06-05,89.0
128,2017-06-12,182.0
129,2017-06-19,91.0
130,2017-06-26,102.0
131,2017-07-03,55.0
132,2017-07-10,79.0
133,2017-07-17,61.0
134,2017-07-24,79.0
135,2017-07-31,66.0
136,2017-08-07,83.0
137,2017-08-14,54.0
138,2017-08-21,119.0
139,2017-08-28,108.0
140,2017-09-04,199.0
141,2017-09-11,156.0
142,2017-09-18,150.0
143,2017-09-25,118.0
144,2017-10-02,111.0
145,2017-10-09,153.0
146,2017-10-16,212.0
147,2017-10-23,129.0
148,2017-10-30,149.0
149,2017-11-06,78.0
150,2017-11-13,50.0
151,2017-11-20,20.0
152,2017-11-27,31.0
153,2017-12-04,19.0
154,2017-12-11,1.0
155,2017-12-18,43.0
156,2017-12-25,39.0
157,2018-01-01,28.0
158,2018-01-08,31.0
159,2018-01-15,53.0
160,2018-01-22,44.0
161,2018-01-29,54.0
162,2018-02-05,53.0
163,2018-02-12,34.0
164,2018-02-19,96.0
165,2018-02-26,97.0
166,2018-03-05,103.0
167,2018-03-12,134.0
168,2018-03-19,118.0
169,2018-03-26,152.0
170,2018-04-02,129.0
171,2018-04-09,192.0
172,2018-04-16,249.0
173,2018-04-23,303.0
174,2018-04-30,321.0
175,2018-05-07,301.0
176,2018-05-14,302.0
177,2018-05-21,279.0
178,2018-05-28,218.0
