,base_date,판매수량
0,2014-12-29,5.0
1,2015-01-05,42.0
2,2015-01-12,25.0
3,2015-01-19,32.0
4,2015-01-26,35.0
5,2015-02-02,18.0
6,2015-02-09,34.0
7,2015-02-16,25.0
8,2015-02-23,43.0
9,2015-03-02,35.0
10,2015-03-09,63.0
11,2015-03-16,50.0
12,2015-03-23,55.0
13,2015-03-30,45.0
14,2015-04-06,43.0
15,2015-04-13,25.0
16,2015-04-20,33.0
17,2015-04-27,31.0
18,2015-05-04,14.0
19,2015-05-11,30.0
20,2015-05-18,23.0
21,2015-05-25,15.0
22,2015-06-01,2.0
23,2015-06-08,10.0
24,2015-06-15,8.0
25,2015-06-22,7.0
26,2015-06-29,19.0
27,2015-07-06,19.0
28,2015-07-13,12.0
29,2015-07-20,13.0
30,2015-07-27,8.0
31,2015-08-03,12.0
32,2015-08-10,10.0
33,2015-08-17,14.0
34,2015-08-24,25.0
35,2015-08-31,42.0
36,2015-09-07,41.0
37,2015-09-14,74.0
38,2015-09-21,67.0
39,2015-09-28,80.0
40,2015-10-05,82.0
41,2015-10-12,76.0
42,2015-10-19,76.0
43,2015-10-26,70.0
44,2015-11-02,73.0
45,2015-11-09,64.0
46,2015-11-16,82.0
47,2015-11-23,53.0
48,2015-11-30,48.0
49,2015-12-07,47.0
50,2015-12-14,35.0
51,2015-12-21,28.0
52,2015-12-28,18.0
53,2016-01-04,48.0
54,2016-01-11,42.0
55,2016-01-18,45.0
56,2016-01-25,67.0
57,2016-02-01,56.0
58,2016-02-08,47.0
59,2016-02-15,45.0
60,2016-02-22,50.0
61,2016-02-29,64.0
62,2016-03-07,65.0
63,2016-03-14,76.0
64,2016-03-21,71.0
65,2016-03-28,51.0
66,2016-04-04,39.0
67,2016-04-11,44.0
68,2016-04-18,34.0
69,2016-04-25,55.0
70,2016-05-02,22.0
71,2016-05-09,23.0
72,2016-05-16,27.0
73,2016-05-23,39.0
74,2016-05-30,17.0
75,2016-06-06,24.0
76,2016-06-13,31.0
77,2016-06-20,21.0
78,2016-06-27,40.0
79,2016-07-04,23.0
80,2016-07-11,21.0
81,2016-07-18,40.0
82,2016-07-25,28.0
83,2016-08-01,32.0
84,2016-08-08,37.0
85,2016-08-15,39.0
86,2016-08-22,48.0
87,2016-08-29,65.0
88,2016-09-05,68.0
89,2016-09-12,40.0
90,2016-09-19,100.0
91,2016-09-26,93.0
92,2016-10-03,116.0
93,2016-10-10,169.0
94,2016-10-17,137.0
95,2016-10-24,134.0
96,2016-10-31,98.0
97,2016-11-07,68.0
98,2016-11-14,68.0
99,2016-11-21,32.0
100,2016-11-28,35.0
101,2016-12-05,47.0
102,2016-12-12,37.0
103,2016-12-19,58.0
104,2016-12-26,30.0
105,2017-01-02,47.0
106,2017-01-09,38.0
107,2017-01-16,59.0
108,2017-01-23,31.0
109,2017-01-30,72.0
110,2017-02-06,78.0
111,2017-02-13,57.0
112,2017-02-20,63.0
113,2017-02-27,89.0
114,2017-03-06,62.0
115,2017-03-13,83.0
116,2017-03-20,102.0
