,base_date,판매수량
0,2014-12-29,70.0
1,2015-01-05,195.0
2,2015-01-12,186.0
3,2015-01-19,132.0
4,2015-01-26,131.0
5,2015-02-02,86.0
6,2015-02-09,130.0
7,2015-02-16,68.0
8,2015-02-23,144.0
9,2015-03-02,123.0
10,2015-03-09,136.0
11,2015-03-16,127.0
12,2015-03-23,104.0
13,2015-03-30,73.0
14,2015-04-06,89.0
15,2015-04-13,71.0
16,2015-04-20,71.0
17,2015-04-27,32.0
18,2015-05-04,21.0
19,2015-05-11,19.0
20,2015-05-18,8.0
21,2015-05-25,17.0
22,2015-06-01,14.0
23,2015-06-08,-1.0
24,2015-06-15,1.0
25,2015-06-22,9.0
26,2015-06-29,12.0
27,2015-07-06,11.0
28,2015-07-13,12.0
29,2015-07-20,7.0
30,2015-07-27,5.0
31,2015-08-03,21.0
32,2015-08-10,48.0
33,2015-08-17,48.0
34,2015-08-24,32.0
35,2015-08-31,62.0
36,2015-09-07,58.0
37,2015-09-14,102.0
38,2015-09-21,66.0
39,2015-09-28,121.0
40,2015-10-05,140.0
41,2015-10-12,182.0
42,2015-10-19,141.0
43,2015-10-26,158.0
44,2015-11-02,160.0
45,2015-11-09,171.0
46,2015-11-16,183.0
47,2015-11-23,184.0
48,2015-11-30,171.0
49,2015-12-07,177.0
50,2015-12-14,177.0
51,2015-12-21,182.0
52,2015-12-28,144.0
53,2016-01-04,208.0
54,2016-01-11,194.0
55,2016-01-18,201.0
56,2016-01-25,204.0
57,2016-02-01,205.0
58,2016-02-08,159.0
59,2016-02-15,169.0
60,2016-02-22,169.0
61,2016-02-29,229.0
62,2016-03-07,203.0
63,2016-03-14,173.0
64,2016-03-21,167.0
65,2016-03-28,102.0
66,2016-04-04,57.0
67,2016-04-11,56.0
68,2016-04-18,14.0
69,2016-04-25,42.0
70,2016-05-02,28.0
71,2016-05-09,7.0
72,2016-05-16,58.0
73,2016-05-23,33.0
74,2016-05-30,17.0
75,2016-06-06,38.0
76,2016-06-13,61.0
77,2016-06-20,45.0
78,2016-06-27,40.0
79,2016-07-04,28.0
80,2016-07-11,25.0
81,2016-07-18,28.0
82,2016-07-25,63.0
83,2016-08-01,83.0
84,2016-08-08,90.0
85,2016-08-15,154.0
86,2016-08-22,170.0
87,2016-08-29,194.0
88,2016-09-05,231.0
89,2016-09-12,143.0
90,2016-09-19,269.0
91,2016-09-26,232.0
92,2016-10-03,281.0
93,2016-10-10,366.0
94,2016-10-17,297.0
95,2016-10-24,316.0
96,2016-10-31,297.0
97,2016-11-07,335.0
98,2016-11-14,300.0
99,2016-11-21,359.0
100,2016-11-28,368.0
101,2016-12-05,493.0
102,2016-12-12,421.0
103,2016-12-19,431.0
104,2016-12-26,345.0
105,2017-01-02,407.0
106,2017-01-09,348.0
107,2017-01-16,433.0
108,2017-01-23,200.0
109,2017-01-30,339.0
110,2017-02-06,365.0
111,2017-02-13,293.0
112,2017-02-20,283.0
113,2017-02-27,232.0
114,2017-03-06,164.0
115,2017-03-13,182.0
116,2017-03-20,197.0
117,2017-03-27,144.0
118,2017-04-03,95.0
119,2017-04-10,97.0
120,2017-04-17,88.0
121,2017-04-24,94.0
122,2017-05-01,50.0
123,2017-05-08,92.0
124,2017-05-15,87.0
125,2017-05-22,101.0
126,2017-05-29,66.0
127,2017-06-05,51.0
128,2017-06-12,94.0
129,2017-06-19,93.0
130,2017-06-26,77.0
131,2017-07-03,60.0
132,2017-07-10,59.0
133,2017-07-17,100.0
134,2017-07-24,124.0
135,2017-07-31,95.0
136,2017-08-07,216.0
137,2017-08-14,262.0
138,2017-08-21,287.0
139,2017-08-28,298.0
140,2017-09-04,485.0
141,2017-09-11,371.0
142,2017-09-18,430.0
143,2017-09-25,422.0
144,2017-10-02,342.0
145,2017-10-09,403.0
146,2017-10-16,476.0
147,2017-10-23,456.0
148,2017-10-30,491.0
149,2017-11-06,432.0
150,2017-11-13,478.0
151,2017-11-20,446.0
152,2017-11-27,406.0
153,2017-12-04,388.0
154,2017-12-11,414.0
155,2017-12-18,490.0
156,2017-12-25,429.0
157,2018-01-01,378.0
158,2018-01-08,406.0
159,2018-01-15,453.0
160,2018-01-22,370.0
161,2018-01-29,375.0
162,2018-02-05,366.0
163,2018-02-12,197.0
164,2018-02-19,349.0
165,2018-02-26,314.0
166,2018-03-05,199.0
167,2018-03-12,285.0
168,2018-03-19,143.0
169,2018-03-26,109.0
170,2018-04-02,55.0
171,2018-04-09,71.0
172,2018-04-16,64.0
173,2018-04-23,93.0
174,2018-04-30,90.0
175,2018-05-07,106.0
176,2018-05-14,131.0
177,2018-05-21,191.0
178,2018-05-28,164.0
179,2018-06-04,168.0
180,2018-06-11,228.0
181,2018-06-18,203.0
182,2018-06-25,201.0
183,2018-07-02,236.0
184,2018-07-09,241.0
185,2018-07-16,261.0
186,2018-07-23,239.0
187,2018-07-30,179.0
188,2018-08-06,247.0
189,2018-08-13,222.0
190,2018-08-20,270.0
191,2018-08-27,327.0
192,2018-09-03,231.0
193,2018-09-10,293.0
194,2018-09-17,328.0
195,2018-09-24,337.0
196,2018-10-01,786.0
197,2018-10-08,422.0
198,2018-10-15,445.0
199,2018-10-22,359.0
200,2018-10-29,494.0
201,2018-11-05,615.0
202,2018-11-12,469.0
203,2018-11-19,539.0
204,2018-11-26,481.0
205,2018-12-03,382.0
206,2018-12-10,495.0
207,2018-12-17,541.0
208,2018-12-24,447.0
209,2018-12-31,419.0
210,2019-01-07,422.0
211,2019-01-14,403.0
212,2019-01-21,396.0
213,2019-01-28,336.0
214,2019-02-04,234.0
215,2019-02-11,366.0
216,2019-02-18,349.0
217,2019-02-25,337.0
218,2019-03-04,209.0
219,2019-03-11,244.0
220,2019-03-18,183.0
221,2019-03-25,150.0
222,2019-04-01,136.0
223,2019-04-08,171.0
224,2019-04-15,220.0
225,2019-04-22,233.0
226,2019-04-29,234.0
227,2019-05-06,216.0
228,2019-05-13,214.0
229,2019-05-20,193.0
230,2019-05-27,162.0
231,2019-06-03,166.0
232,2019-06-10,243.0
233,2019-06-17,205.0
234,2019-06-24,171.0
235,2019-07-01,162.0
236,2019-07-08,217.0
237,2019-07-15,207.0
238,2019-07-22,194.0
239,2019-07-29,199.0
240,2019-08-05,183.0
241,2019-08-12,209.0
242,2019-08-19,157.0
243,2019-08-26,181.0
244,2019-09-02,168.0
245,2019-09-09,165.0
246,2019-09-16,260.0
247,2019-09-23,383.0
248,2019-09-30,675.0
249,2019-10-07,334.0
250,2019-10-14,507.0
251,2019-10-21,465.0
252,2019-10-28,453.0
253,2019-11-04,718.0
254,2019-11-11,405.0
255,2019-11-18,451.0
256,2019-11-25,512.0
257,2019-12-02,529.0
258,2019-12-09,476.0
259,2019-12-16,719.0
260,2019-12-23,585.0
261,2019-12-30,429.0
262,2020-01-06,530.0
263,2020-01-13,490.0
264,2020-01-20,268.0
265,2020-01-27,428.0
266,2020-02-03,437.0
267,2020-02-10,394.0
268,2020-02-17,268.0
269,2020-02-24,124.0
270,2020-03-02,156.0
271,2020-03-09,146.0
272,2020-03-16,146.0
273,2020-03-23,163.0
274,2020-03-30,190.0
275,2020-04-06,199.0
276,2020-04-13,165.0
277,2020-04-20,141.0
278,2020-04-27,154.0
279,2020-05-04,181.0
280,2020-05-11,208.0
281,2020-05-18,362.0
282,2020-05-25,260.0
283,2020-06-01,231.0
284,2020-06-08,199.0
285,2020-06-15,164.0
286,2020-06-22,248.0
287,2020-06-29,189.0
288,2020-07-06,188.0
289,2020-07-13,168.0
290,2020-07-20,129.0
291,2020-07-27,192.0
292,2020-08-03,152.0
293,2020-08-10,157.0
294,2020-08-17,186.0
295,2020-08-24,189.0
296,2020-08-31,166.0
297,2020-09-07,249.0
298,2020-09-14,289.0
299,2020-09-21,449.0
300,2020-09-28,215.0
301,2020-10-05,425.0
302,2020-10-12,483.0
303,2020-10-19,803.0
304,2020-10-26,778.0
305,2020-11-02,733.0
306,2020-11-09,616.0
307,2020-11-16,388.0
308,2020-11-23,495.0
309,2020-11-30,488.0
310,2020-12-07,460.0
311,2020-12-14,448.0
312,2020-12-21,383.0
313,2020-12-28,281.0
314,2021-01-04,340.0
315,2021-01-11,368.0
316,2021-01-18,349.0
317,2021-01-25,483.0
318,2021-02-01,393.0
319,2021-02-08,190.0
320,2021-02-15,317.0
321,2021-02-22,411.0
322,2021-03-01,412.0
323,2021-03-08,346.0
324,2021-03-15,309.0
325,2021-03-22,266.0
326,2021-03-29,240.0
327,2021-04-05,233.0
328,2021-04-12,176.0
329,2021-04-19,221.0
330,2021-04-26,247.0
331,2021-05-03,207.0
332,2021-05-10,196.0
333,2021-05-17,285.0
334,2021-05-24,278.0
335,2021-05-31,252.0
336,2021-06-07,267.0
337,2021-06-14,277.0
338,2021-06-21,332.0
339,2021-06-28,290.0
340,2021-07-05,309.0
341,2021-07-12,227.0
342,2021-07-19,228.0
343,2021-07-26,216.0
344,2021-08-02,150.0
345,2021-08-09,177.0
346,2021-08-16,170.0
347,2021-08-23,219.0
348,2021-08-30,283.0
349,2021-09-06,214.0
350,2021-09-13,211.0
351,2021-09-20,225.0
352,2021-09-27,313.0
353,2021-10-04,411.0
354,2021-10-11,455.0
355,2021-10-18,579.0
356,2021-10-25,433.0
357,2021-11-01,429.0
358,2021-11-08,474.0
359,2021-11-15,628.0
360,2021-11-22,544.0
361,2021-11-29,494.0
362,2021-12-06,561.0
363,2021-12-13,479.0
364,2021-12-20,402.0
365,2021-12-27,443.0
366,2022-01-03,353.0
367,2022-01-10,364.0
368,2022-01-17,279.0
369,2022-01-24,327.0
370,2022-01-31,179.0
371,2022-02-07,190.0
372,2022-02-14,197.0
373,2022-02-21,278.0
374,2022-02-28,283.0
375,2022-03-07,178.0
376,2022-03-14,143.0
377,2022-03-21,199.0
378,2022-03-28,232.0
379,2022-04-04,264.0
380,2022-04-11,236.0
381,2022-04-18,231.0
382,2022-04-25,293.0
383,2022-05-02,348.0
384,2022-05-09,312.0
385,2022-05-16,366.0
386,2022-05-23,310.0
387,2022-05-30,329.0
388,2022-06-06,289.0
389,2022-06-13,331.0
390,2022-06-20,362.0
391,2022-06-27,384.0
392,2022-07-04,406.0
393,2022-07-11,385.0
394,2022-07-18,363.0
395,2022-07-25,282.0
396,2022-08-01,297.0
397,2022-08-08,256.0
398,2022-08-15,249.0
399,2022-08-22,220.0
400,2022-08-29,229.0
401,2022-09-05,196.0
402,2022-09-12,361.0
403,2022-09-19,467.0
404,2022-09-26,376.0
405,2022-10-03,392.0
406,2022-10-10,463.0
