,base_date,판매수량
0,2014-12-29,136.0
1,2015-01-05,208.0
2,2015-01-12,217.0
3,2015-01-19,174.0
4,2015-01-26,191.0
5,2015-02-02,159.0
6,2015-02-09,172.0
7,2015-02-16,105.0
8,2015-02-23,315.0
9,2015-03-02,220.0
10,2015-03-09,278.0
11,2015-03-16,342.0
12,2015-03-23,278.0
13,2015-03-30,263.0
14,2015-04-06,288.0
15,2015-04-13,294.0
16,2015-04-20,438.0
17,2015-04-27,459.0
18,2015-05-04,443.0
19,2015-05-11,522.0
20,2015-05-18,468.0
21,2015-05-25,541.0
22,2015-06-01,480.0
23,2015-06-08,516.0
24,2015-06-15,440.0
25,2015-06-22,452.0
26,2015-06-29,693.0
27,2015-07-06,515.0
28,2015-07-13,603.0
29,2015-07-20,444.0
30,2015-07-27,476.0
31,2015-08-03,465.0
32,2015-08-10,292.0
33,2015-08-17,361.0
34,2015-08-24,318.0
35,2015-08-31,335.0
36,2015-09-07,402.0
37,2015-09-14,373.0
38,2015-09-21,239.0
39,2015-09-28,316.0
40,2015-10-05,439.0
41,2015-10-12,342.0
42,2015-10-19,349.0
43,2015-10-26,278.0
44,2015-11-02,391.0
45,2015-11-09,312.0
46,2015-11-16,349.0
47,2015-11-23,316.0
48,2015-11-30,403.0
49,2015-12-07,351.0
50,2015-12-14,345.0
51,2015-12-21,275.0
52,2015-12-28,203.0
53,2016-01-04,228.0
54,2016-01-11,220.0
55,2016-01-18,174.0
56,2016-01-25,204.0
57,2016-02-01,174.0
58,2016-02-08,167.0
59,2016-02-15,167.0
60,2016-02-22,225.0
61,2016-02-29,232.0
62,2016-03-07,237.0
63,2016-03-14,340.0
64,2016-03-21,305.0
65,2016-03-28,339.0
66,2016-04-04,365.0
67,2016-04-11,421.0
68,2016-04-18,422.0
69,2016-04-25,378.0
70,2016-05-02,387.0
71,2016-05-09,378.0
72,2016-05-16,566.0
73,2016-05-23,589.0
74,2016-05-30,541.0
75,2016-06-06,646.0
76,2016-06-13,616.0
77,2016-06-20,608.0
78,2016-06-27,589.0
79,2016-07-04,590.0
80,2016-07-11,555.0
81,2016-07-18,646.0
82,2016-07-25,630.0
83,2016-08-01,526.0
84,2016-08-08,571.0
85,2016-08-15,508.0
86,2016-08-22,501.0
87,2016-08-29,394.0
88,2016-09-05,402.0
89,2016-09-12,234.0
90,2016-09-19,544.0
91,2016-09-26,433.0
92,2016-10-03,406.0
93,2016-10-10,437.0
94,2016-10-17,406.0
95,2016-10-24,367.0
96,2016-10-31,268.0
97,2016-11-07,373.0
98,2016-11-14,376.0
99,2016-11-21,345.0
100,2016-11-28,374.0
101,2016-12-05,381.0
102,2016-12-12,386.0
103,2016-12-19,325.0
104,2016-12-26,282.0
105,2017-01-02,319.0
106,2017-01-09,323.0
107,2017-01-16,424.0
108,2017-01-23,224.0
109,2017-01-30,385.0
110,2017-02-06,429.0
111,2017-02-13,387.0
112,2017-02-20,347.0
113,2017-02-27,396.0
114,2017-03-06,344.0
115,2017-03-13,414.0
116,2017-03-20,548.0
117,2017-03-27,397.0
118,2017-04-03,475.0
119,2017-04-10,667.0
120,2017-04-17,486.0
121,2017-04-24,775.0
122,2017-05-01,668.0
123,2017-05-08,672.0
124,2017-05-15,841.0
125,2017-05-22,633.0
126,2017-05-29,710.0
127,2017-06-05,676.0
128,2017-06-12,884.0
129,2017-06-19,804.0
130,2017-06-26,859.0
131,2017-07-03,905.0
132,2017-07-10,974.0
133,2017-07-17,874.0
134,2017-07-24,752.0
135,2017-07-31,563.0
136,2017-08-07,734.0
137,2017-08-14,398.0
138,2017-08-21,501.0
139,2017-08-28,462.0
140,2017-09-04,913.0
141,2017-09-11,507.0
142,2017-09-18,535.0
143,2017-09-25,459.0
144,2017-10-02,316.0
145,2017-10-09,518.0
146,2017-10-16,541.0
147,2017-10-23,477.0
148,2017-10-30,484.0
149,2017-11-06,428.0
150,2017-11-13,469.0
151,2017-11-20,476.0
152,2017-11-27,470.0
153,2017-12-04,483.0
154,2017-12-11,357.0
155,2017-12-18,455.0
156,2017-12-25,324.0
