,base_date,판매수량
0,2014-12-29,1.0
1,2015-01-05,0.0
2,2015-01-12,0.0
3,2015-01-19,0.0
4,2015-01-26,0.0
5,2015-02-02,1.0
6,2015-02-09,6.0
7,2015-02-16,2.0
8,2015-02-23,7.0
9,2015-03-02,12.0
10,2015-03-09,13.0
11,2015-03-16,20.0
12,2015-03-23,13.0
13,2015-03-30,15.0
14,2015-04-06,2.0
15,2015-04-13,6.0
16,2015-04-20,5.0
17,2015-04-27,-1.0
18,2015-05-04,1.0
19,2015-05-11,0.0
20,2015-05-18,0.0
21,2015-05-25,10.0
22,2015-06-01,0.0
23,2015-06-08,1.0
24,2015-06-15,0.0
25,2015-06-22,0.0
26,2015-06-29,1.0
27,2015-07-06,1.0
28,2015-07-13,0.0
29,2015-07-20,0.0
30,2015-07-27,1.0
31,2015-08-03,0.0
32,2015-08-10,0.0
33,2015-08-17,0.0
34,2015-08-24,4.0
35,2015-08-31,1.0
36,2015-09-07,1.0
37,2015-09-14,3.0
38,2015-09-21,0.0
39,2015-09-28,10.0
40,2015-10-05,1.0
41,2015-10-12,7.0
42,2015-10-19,1.0
43,2015-10-26,3.0
44,2015-11-02,2.0
45,2015-11-09,2.0
46,2015-11-16,0.0
47,2015-11-23,-1.0
48,2015-11-30,0.0
49,2015-12-07,0.0
50,2015-12-14,0.0
51,2015-12-21,0.0
52,2015-12-28,0.0
53,2016-01-04,0.0
54,2016-01-11,0.0
55,2016-01-18,0.0
56,2016-01-25,0.0
57,2016-02-01,0.0
58,2016-02-08,0.0
59,2016-02-15,2.0
60,2016-02-22,1.0
61,2016-02-29,3.0
62,2016-03-07,8.0
63,2016-03-14,17.0
64,2016-03-21,8.0
65,2016-03-28,11.0
66,2016-04-04,2.0
67,2016-04-11,5.0
68,2016-04-18,5.0
69,2016-04-25,18.0
70,2016-05-02,13.0
71,2016-05-09,9.0
72,2016-05-16,7.0
73,2016-05-23,7.0
74,2016-05-30,4.0
75,2016-06-06,0.0
76,2016-06-13,4.0
77,2016-06-20,0.0
78,2016-06-27,0.0
79,2016-07-04,2.0
80,2016-07-11,0.0
81,2016-07-18,1.0
82,2016-07-25,1.0
83,2016-08-01,3.0
84,2016-08-08,2.0
85,2016-08-15,0.0
86,2016-08-22,6.0
87,2016-08-29,4.0
88,2016-09-05,6.0
89,2016-09-12,5.0
90,2016-09-19,4.0
91,2016-09-26,4.0
92,2016-10-03,4.0
93,2016-10-10,3.0
94,2016-10-17,0.0
95,2016-10-24,-1.0
96,2016-10-31,-1.0
97,2016-11-07,1.0
98,2016-11-14,0.0
99,2016-11-21,0.0
100,2016-11-28,1.0
101,2016-12-05,0.0
102,2016-12-12,0.0
103,2016-12-19,0.0
104,2016-12-26,1.0
105,2017-01-02,0.0
106,2017-01-09,0.0
107,2017-01-16,8.0
108,2017-01-23,3.0
109,2017-01-30,3.0
110,2017-02-06,1.0
111,2017-02-13,18.0
112,2017-02-20,9.0
113,2017-02-27,8.0
114,2017-03-06,4.0
115,2017-03-13,4.0
116,2017-03-20,10.0
117,2017-03-27,18.0
118,2017-04-03,16.0
119,2017-04-10,8.0
120,2017-04-17,6.0
121,2017-04-24,23.0
122,2017-05-01,3.0
123,2017-05-08,3.0
124,2017-05-15,13.0
125,2017-05-22,1.0
126,2017-05-29,0.0
127,2017-06-05,8.0
128,2017-06-12,6.0
129,2017-06-19,2.0
130,2017-06-26,6.0
131,2017-07-03,3.0
132,2017-07-10,0.0
133,2017-07-17,0.0
134,2017-07-24,5.0
135,2017-07-31,2.0
136,2017-08-07,3.0
137,2017-08-14,0.0
138,2017-08-21,2.0
139,2017-08-28,-1.0
140,2017-09-04,0.0
141,2017-09-11,-1.0
142,2017-09-18,4.0
143,2017-09-25,2.0
144,2017-10-02,1.0
145,2017-10-09,-1.0
146,2017-10-16,1.0
147,2017-10-23,0.0
148,2017-10-30,0.0
149,2017-11-06,0.0
150,2017-11-13,0.0
151,2017-11-20,-2.0
152,2017-11-27,0.0
153,2017-12-04,0.0
154,2017-12-11,-1.0
155,2017-12-18,0.0
156,2017-12-25,0.0
157,2018-01-01,0.0
158,2018-01-08,0.0
159,2018-01-15,1.0
160,2018-01-22,-1.0
161,2018-01-29,2.0
162,2018-02-05,2.0
163,2018-02-12,4.0
164,2018-02-19,14.0
165,2018-02-26,21.0
166,2018-03-05,37.0
167,2018-03-12,58.0
168,2018-03-19,32.0
169,2018-03-26,18.0
170,2018-04-02,36.0
171,2018-04-09,51.0
172,2018-04-16,24.0
173,2018-04-23,18.0
174,2018-04-30,18.0
175,2018-05-07,8.0
176,2018-05-14,6.0
177,2018-05-21,2.0
178,2018-05-28,5.0
179,2018-06-04,3.0
180,2018-06-11,3.0
181,2018-06-18,6.0
182,2018-06-25,3.0
183,2018-07-02,0.0
184,2018-07-09,1.0
185,2018-07-16,1.0
186,2018-07-23,16.0
187,2018-07-30,21.0
188,2018-08-06,4.0
189,2018-08-13,4.0
190,2018-08-20,10.0
191,2018-08-27,12.0
192,2018-09-03,19.0
193,2018-09-10,13.0
194,2018-09-17,10.0
195,2018-09-24,8.0
