,smape,smape_a,mae,R,train_smape,train_smape_a,train_mae,train_R
JK,36.61641282301683,18.308206411508415,65.03390502929688,0.29981294620394416,4.230414204127879,2.1152071020639394,3.9428672790527344,0.9753725902763303
JP,42.91510009765625,21.457550048828125,32.84316635131836,0.822414048626264,6.396021213559529,3.1980106067797647,2.9074862003326416,0.9911058259699694
BL,31.85170335036058,15.92585167518029,83.61982727050781,0.834516548768454,6.71187722011269,3.355938610056345,15.721497535705566,0.9915477664386939
VT,52.786259577824524,26.393129788912262,14.314106941223145,-0.31013776999840226,4.121897583904948,2.060948791952474,1.4138702154159546,0.8800431050870209
SL,20.58424025315505,10.292120126577524,129.77162170410156,0.4548182534442837,2.098102186428221,1.0490510932141106,12.775280952453613,0.9866229043352182
SK,34.95549832857572,17.47774916428786,32.31605911254883,0.03630371410325184,13.683930594683979,6.841965297341989,1.3943618535995483,0.9703285351998776
OP,24.343867375300484,12.171933687650242,33.417762756347656,0.8515936216482823,3.9771180066450267,1.9885590033225133,4.546717643737793,0.9926336515233203
TC,133.87447415865384,66.93723707932692,5.226700305938721,0.23804673909841656,15.124179898027927,7.562089949013964,0.2571137845516205,0.9877073950496195
CT,63.42522723858173,31.712613619290867,23.109373092651367,0.7117194990174037,5.162154351420872,2.581077175710436,5.253072738647461,0.9687099429382738
KT,18.520008967472958,9.260004483736479,57.97785949707031,0.5369163649840651,4.81743113822881,2.408715569114405,9.816115379333496,0.9453107273996967
KC,33.36659358097957,16.683296790489784,26.84029197692871,0.09735375860529294,5.948853196962273,2.9744265984811364,4.052735328674316,0.9556493693122695
TS,32.42225060096154,16.21112530048077,107.76534271240234,0.4246205669377171,1.1955943203392945,0.5977971601696472,4.079198837280273,0.9983083636624075
PD,72.28782771183894,36.14391385591947,37.6872444152832,0.9217321868943943,12.560232040053895,6.280116020026948,5.6438140869140625,0.9949066650906583
