,smape,smape_a,mae,R,train_smape,train_smape_a,train_mae,train_R
JK,42.11756310096154,21.05878155048077,55.26460647583008,0.5957666560919017,6.267821488107086,3.133910744053543,4.457993507385254,0.9919832042804124
JP,55.30199725811298,27.65099862905649,48.39603042602539,0.5086625697605691,15.364391545581212,7.682195772790606,7.808917999267578,0.9805621656738858
BL,33.35167518028846,16.67583759014423,96.27053833007812,0.771654488388602,7.656427274084395,3.8282136370421975,16.74598503112793,0.9923245117102728
VT,63.60260948768029,31.801304743840145,18.376619338989258,-0.965084364434015,25.97690771795382,12.98845385897691,11.591994285583496,0.7025340554042087
SL,26.98646662785457,13.493233313927284,172.86073303222656,0.0597168435996871,4.754795730493631,2.3773978652468153,24.012775421142578,0.9757086740275177
SK,32.78057391826923,16.390286959134617,30.80307960510254,0.06662649780955654,19.89187835887739,9.945939179438694,4.552392959594727,0.9103456380935904
OP,25.726783165564907,12.863391582782453,31.0198974609375,0.9095695712704511,13.151463599721339,6.5757317998606695,14.59912395477295,0.971184712300972
TC,143.28694035456732,71.64347017728366,6.206174373626709,0.22904004852434834,82.5634205812102,41.2817102906051,0.5304207801818848,0.9880809978402609
CT,64.39863938551683,32.199319692758415,36.24142074584961,0.3932786374152264,15.728929264530256,7.864464632265128,16.234909057617188,0.9119020690959119
KT,29.142674372746395,14.571337186373198,94.59769439697266,-0.11241140957902918,10.330141881468949,5.165070940734474,24.68767547607422,0.9218034700271747
KC,56.39574256310097,28.197871281550484,50.75777053833008,-1.1604924820815414,10.369020887241243,5.1845104436206215,6.35719108581543,0.9224076127353893
TS,42.11699030949519,21.058495154747597,137.82376098632812,0.26589229675013715,2.256884921128583,1.1284424605642915,5.310822010040283,0.9971849326120972
PD,88.72593336838943,44.36296668419472,77.98304748535156,0.5454470385351511,39.6897859026672,19.8448929513336,5.911273002624512,0.9946952868931163
