,base_date,판매수량
0,2014-12-29,0.0
1,2015-01-05,-1.0
2,2015-01-12,8.0
3,2015-01-19,0.0
4,2015-01-26,3.0
5,2015-02-02,2.0
6,2015-02-09,22.0
7,2015-02-16,29.0
8,2015-02-23,72.0
9,2015-03-02,68.0
10,2015-03-09,80.0
11,2015-03-16,154.0
12,2015-03-23,157.0
13,2015-03-30,154.0
14,2015-04-06,172.0
15,2015-04-13,177.0
16,2015-04-20,205.0
17,2015-04-27,178.0
18,2015-05-04,183.0
19,2015-05-11,203.0
20,2015-05-18,169.0
21,2015-05-25,78.0
22,2015-06-01,44.0
23,2015-06-08,46.0
24,2015-06-15,44.0
25,2015-06-22,27.0
26,2015-06-29,43.0
27,2015-07-06,19.0
28,2015-07-13,32.0
29,2015-07-20,36.0
30,2015-07-27,25.0
31,2015-08-03,19.0
32,2015-08-10,54.0
33,2015-08-17,114.0
34,2015-08-24,87.0
35,2015-08-31,82.0
36,2015-09-07,114.0
37,2015-09-14,137.0
38,2015-09-21,76.0
39,2015-09-28,126.0
40,2015-10-05,130.0
41,2015-10-12,142.0
42,2015-10-19,125.0
43,2015-10-26,58.0
44,2015-11-02,63.0
45,2015-11-09,56.0
46,2015-11-16,35.0
47,2015-11-23,33.0
48,2015-11-30,17.0
49,2015-12-07,15.0
50,2015-12-14,29.0
51,2015-12-21,21.0
52,2015-12-28,9.0
53,2016-01-04,26.0
54,2016-01-11,17.0
55,2016-01-18,26.0
56,2016-01-25,41.0
57,2016-02-01,23.0
58,2016-02-08,30.0
59,2016-02-15,53.0
60,2016-02-22,59.0
61,2016-02-29,76.0
62,2016-03-07,144.0
63,2016-03-14,205.0
64,2016-03-21,177.0
65,2016-03-28,200.0
66,2016-04-04,176.0
67,2016-04-11,203.0
68,2016-04-18,181.0
69,2016-04-25,189.0
70,2016-05-02,172.0
71,2016-05-09,145.0
72,2016-05-16,145.0
73,2016-05-23,142.0
74,2016-05-30,94.0
75,2016-06-06,112.0
76,2016-06-13,93.0
77,2016-06-20,64.0
78,2016-06-27,51.0
79,2016-07-04,54.0
80,2016-07-11,56.0
81,2016-07-18,33.0
82,2016-07-25,28.0
83,2016-08-01,27.0
84,2016-08-08,41.0
85,2016-08-15,50.0
86,2016-08-22,68.0
87,2016-08-29,71.0
88,2016-09-05,64.0
89,2016-09-12,48.0
90,2016-09-19,84.0
91,2016-09-26,86.0
92,2016-10-03,86.0
93,2016-10-10,94.0
94,2016-10-17,83.0
95,2016-10-24,57.0
96,2016-10-31,60.0
97,2016-11-07,27.0
98,2016-11-14,43.0
99,2016-11-21,50.0
100,2016-11-28,21.0
101,2016-12-05,28.0
