,base_date,판매수량
0,2014-12-29,2.0
1,2015-01-05,6.0
2,2015-01-12,9.0
3,2015-01-19,3.0
4,2015-01-26,4.0
5,2015-02-02,5.0
6,2015-02-09,31.0
7,2015-02-16,16.0
8,2015-02-23,44.0
9,2015-03-02,45.0
10,2015-03-09,68.0
11,2015-03-16,105.0
12,2015-03-23,109.0
13,2015-03-30,104.0
14,2015-04-06,105.0
15,2015-04-13,99.0
16,2015-04-20,129.0
17,2015-04-27,107.0
18,2015-05-04,102.0
19,2015-05-11,111.0
20,2015-05-18,131.0
21,2015-05-25,134.0
22,2015-06-01,104.0
23,2015-06-08,104.0
24,2015-06-15,102.0
25,2015-06-22,121.0
26,2015-06-29,238.0
27,2015-07-06,125.0
28,2015-07-13,172.0
29,2015-07-20,121.0
30,2015-07-27,164.0
31,2015-08-03,127.0
32,2015-08-10,141.0
33,2015-08-17,101.0
34,2015-08-24,87.0
35,2015-08-31,66.0
36,2015-09-07,73.0
37,2015-09-14,46.0
38,2015-09-21,34.0
39,2015-09-28,41.0
40,2015-10-05,43.0
41,2015-10-12,19.0
42,2015-10-19,31.0
43,2015-10-26,6.0
44,2015-11-02,4.0
45,2015-11-09,2.0
46,2015-11-16,3.0
47,2015-11-23,2.0
48,2015-11-30,8.0
49,2015-12-07,3.0
50,2015-12-14,14.0
51,2015-12-21,19.0
52,2015-12-28,14.0
53,2016-01-04,19.0
54,2016-01-11,21.0
55,2016-01-18,13.0
56,2016-01-25,20.0
57,2016-02-01,15.0
58,2016-02-08,8.0
59,2016-02-15,27.0
60,2016-02-22,26.0
61,2016-02-29,54.0
62,2016-03-07,89.0
63,2016-03-14,94.0
64,2016-03-21,79.0
65,2016-03-28,96.0
66,2016-04-04,92.0
67,2016-04-11,103.0
68,2016-04-18,112.0
69,2016-04-25,96.0
70,2016-05-02,87.0
71,2016-05-09,98.0
72,2016-05-16,87.0
73,2016-05-23,81.0
74,2016-05-30,80.0
75,2016-06-06,88.0
76,2016-06-13,112.0
77,2016-06-20,93.0
78,2016-06-27,176.0
79,2016-07-04,137.0
80,2016-07-11,180.0
81,2016-07-18,167.0
82,2016-07-25,148.0
83,2016-08-01,116.0
84,2016-08-08,166.0
85,2016-08-15,113.0
86,2016-08-22,162.0
87,2016-08-29,79.0
88,2016-09-05,115.0
89,2016-09-12,49.0
90,2016-09-19,99.0
91,2016-09-26,93.0
92,2016-10-03,80.0
