,base_date,판매수량
0,2014-12-29,47.0
1,2015-01-05,84.0
2,2015-01-12,93.0
3,2015-01-19,102.0
4,2015-01-26,73.0
5,2015-02-02,60.0
6,2015-02-09,60.0
7,2015-02-16,36.0
8,2015-02-23,70.0
9,2015-03-02,70.0
10,2015-03-09,59.0
11,2015-03-16,21.0
12,2015-03-23,13.0
13,2015-03-30,7.0
14,2015-04-06,7.0
15,2015-04-13,15.0
16,2015-04-20,10.0
17,2015-04-27,20.0
18,2015-05-04,2.0
19,2015-05-11,11.0
20,2015-05-18,5.0
21,2015-05-25,7.0
22,2015-06-01,0.0
23,2015-06-08,9.0
24,2015-06-15,3.0
25,2015-06-22,4.0
26,2015-06-29,14.0
27,2015-07-06,7.0
28,2015-07-13,19.0
29,2015-07-20,7.0
30,2015-07-27,16.0
31,2015-08-03,7.0
32,2015-08-10,15.0
33,2015-08-17,10.0
34,2015-08-24,8.0
35,2015-08-31,2.0
36,2015-09-07,34.0
37,2015-09-14,4.0
38,2015-09-21,11.0
39,2015-09-28,7.0
40,2015-10-05,24.0
41,2015-10-12,19.0
42,2015-10-19,19.0
43,2015-10-26,25.0
44,2015-11-02,70.0
45,2015-11-09,50.0
46,2015-11-16,55.0
47,2015-11-23,66.0
48,2015-11-30,100.0
49,2015-12-07,47.0
50,2015-12-14,42.0
51,2015-12-21,25.0
52,2015-12-28,26.0
53,2016-01-04,135.0
54,2016-01-11,322.0
55,2016-01-18,216.0
56,2016-01-25,220.0
57,2016-02-01,168.0
58,2016-02-08,105.0
59,2016-02-15,103.0
60,2016-02-22,126.0
61,2016-02-29,94.0
62,2016-03-07,69.0
63,2016-03-14,51.0
64,2016-03-21,10.0
65,2016-03-28,21.0
66,2016-04-04,4.0
67,2016-04-11,3.0
68,2016-04-18,4.0
69,2016-04-25,3.0
70,2016-05-02,4.0
71,2016-05-09,2.0
72,2016-05-16,0.0
73,2016-05-23,0.0
74,2016-05-30,1.0
75,2016-06-06,1.0
76,2016-06-13,4.0
77,2016-06-20,7.0
78,2016-06-27,9.0
79,2016-07-04,5.0
80,2016-07-11,4.0
81,2016-07-18,11.0
82,2016-07-25,3.0
83,2016-08-01,-1.0
84,2016-08-08,4.0
85,2016-08-15,-1.0
86,2016-08-22,5.0
87,2016-08-29,3.0
88,2016-09-05,2.0
89,2016-09-12,-1.0
90,2016-09-19,8.0
91,2016-09-26,3.0
92,2016-10-03,26.0
93,2016-10-10,46.0
94,2016-10-17,52.0
95,2016-10-24,65.0
96,2016-10-31,149.0
97,2016-11-07,128.0
98,2016-11-14,93.0
99,2016-11-21,112.0
100,2016-11-28,145.0
101,2016-12-05,139.0
102,2016-12-12,123.0
103,2016-12-19,108.0
104,2016-12-26,82.0
105,2017-01-02,89.0
106,2017-01-09,119.0
107,2017-01-16,200.0
108,2017-01-23,116.0
109,2017-01-30,240.0
110,2017-02-06,356.0
111,2017-02-13,451.0
112,2017-02-20,511.0
113,2017-02-27,312.0
114,2017-03-06,302.0
115,2017-03-13,371.0
116,2017-03-20,135.0
117,2017-03-27,162.0
118,2017-04-03,55.0
119,2017-04-10,73.0
120,2017-04-17,16.0
121,2017-04-24,43.0
122,2017-05-01,7.0
123,2017-05-08,18.0
124,2017-05-15,19.0
125,2017-05-22,4.0
126,2017-05-29,14.0
127,2017-06-05,18.0
128,2017-06-12,15.0
129,2017-06-19,17.0
130,2017-06-26,13.0
131,2017-07-03,9.0
132,2017-07-10,6.0
133,2017-07-17,3.0
134,2017-07-24,35.0
135,2017-07-31,5.0
136,2017-08-07,5.0
137,2017-08-14,4.0
138,2017-08-21,12.0
139,2017-08-28,37.0
140,2017-09-04,7.0
141,2017-09-11,14.0
142,2017-09-18,36.0
143,2017-09-25,30.0
144,2017-10-02,42.0
145,2017-10-09,111.0
146,2017-10-16,129.0
147,2017-10-23,166.0
148,2017-10-30,214.0
149,2017-11-06,293.0
150,2017-11-13,241.0
151,2017-11-20,287.0
152,2017-11-27,292.0
153,2017-12-04,313.0
154,2017-12-11,270.0
155,2017-12-18,264.0
156,2017-12-25,207.0
157,2018-01-01,171.0
158,2018-01-08,170.0
159,2018-01-15,167.0
160,2018-01-22,154.0
161,2018-01-29,217.0
162,2018-02-05,239.0
163,2018-02-12,101.0
164,2018-02-19,171.0
165,2018-02-26,95.0
166,2018-03-05,84.0
167,2018-03-12,63.0
168,2018-03-19,42.0
169,2018-03-26,5.0
170,2018-04-02,12.0
171,2018-04-09,12.0
172,2018-04-16,2.0
173,2018-04-23,12.0
174,2018-04-30,-1.0
175,2018-05-07,7.0
176,2018-05-14,2.0
177,2018-05-21,12.0
178,2018-05-28,0.0
179,2018-06-04,6.0
180,2018-06-11,1.0
181,2018-06-18,0.0
182,2018-06-25,1.0
183,2018-07-02,2.0
184,2018-07-09,1.0
185,2018-07-16,9.0
186,2018-07-23,5.0
187,2018-07-30,35.0
188,2018-08-06,18.0
189,2018-08-13,25.0
190,2018-08-20,21.0
191,2018-08-27,53.0
192,2018-09-03,26.0
193,2018-09-10,14.0
194,2018-09-17,25.0
195,2018-09-24,41.0
196,2018-10-01,44.0
197,2018-10-08,78.0
198,2018-10-15,91.0
199,2018-10-22,94.0
200,2018-10-29,127.0
201,2018-11-05,134.0
202,2018-11-12,98.0
203,2018-11-19,157.0
204,2018-11-26,178.0
205,2018-12-03,206.0
206,2018-12-10,516.0
207,2018-12-17,311.0
208,2018-12-24,326.0
209,2018-12-31,377.0
210,2019-01-07,229.0
211,2019-01-14,181.0
212,2019-01-21,151.0
213,2019-01-28,132.0
214,2019-02-04,83.0
215,2019-02-11,178.0
216,2019-02-18,107.0
217,2019-02-25,60.0
218,2019-03-04,24.0
219,2019-03-11,53.0
220,2019-03-18,39.0
221,2019-03-25,20.0
222,2019-04-01,20.0
223,2019-04-08,19.0
224,2019-04-15,16.0
225,2019-04-22,4.0
226,2019-04-29,8.0
227,2019-05-06,0.0
228,2019-05-13,3.0
229,2019-05-20,4.0
230,2019-05-27,0.0
231,2019-06-03,0.0
232,2019-06-10,1.0
233,2019-06-17,1.0
234,2019-06-24,1.0
235,2019-07-01,0.0
236,2019-07-08,2.0
237,2019-07-15,1.0
238,2019-07-22,1.0
239,2019-07-29,1.0
240,2019-08-05,0.0
241,2019-08-12,2.0
242,2019-08-19,0.0
243,2019-08-26,1.0
244,2019-09-02,2.0
245,2019-09-09,0.0
246,2019-09-16,4.0
247,2019-09-23,24.0
248,2019-09-30,105.0
249,2019-10-07,25.0
