,base_date,판매수량
0,2014-12-29,4.0
1,2015-01-05,8.0
2,2015-01-12,10.0
3,2015-01-19,22.0
4,2015-01-26,18.0
5,2015-02-02,17.0
6,2015-02-09,9.0
7,2015-02-16,9.0
8,2015-02-23,28.0
9,2015-03-02,15.0
10,2015-03-09,18.0
11,2015-03-16,38.0
12,2015-03-23,23.0
13,2015-03-30,18.0
14,2015-04-06,22.0
15,2015-04-13,7.0
16,2015-04-20,13.0
17,2015-04-27,3.0
18,2015-05-04,4.0
19,2015-05-11,0.0
20,2015-05-18,1.0
21,2015-05-25,1.0
22,2015-06-01,-1.0
23,2015-06-08,3.0
24,2015-06-15,2.0
25,2015-06-22,0.0
26,2015-06-29,1.0
27,2015-07-06,0.0
28,2015-07-13,1.0
29,2015-07-20,0.0
30,2015-07-27,1.0
31,2015-08-03,2.0
32,2015-08-10,3.0
33,2015-08-17,0.0
34,2015-08-24,1.0
35,2015-08-31,24.0
36,2015-09-07,10.0
37,2015-09-14,18.0
38,2015-09-21,15.0
39,2015-09-28,11.0
40,2015-10-05,8.0
41,2015-10-12,8.0
42,2015-10-19,5.0
43,2015-10-26,7.0
44,2015-11-02,15.0
45,2015-11-09,3.0
46,2015-11-16,12.0
47,2015-11-23,16.0
48,2015-11-30,15.0
49,2015-12-07,13.0
50,2015-12-14,6.0
51,2015-12-21,4.0
52,2015-12-28,6.0
53,2016-01-04,8.0
54,2016-01-11,6.0
55,2016-01-18,1.0
56,2016-01-25,8.0
57,2016-02-01,9.0
58,2016-02-08,16.0
59,2016-02-15,7.0
60,2016-02-22,29.0
61,2016-02-29,99.0
62,2016-03-07,56.0
63,2016-03-14,41.0
64,2016-03-21,51.0
65,2016-03-28,28.0
66,2016-04-04,38.0
67,2016-04-11,19.0
68,2016-04-18,3.0
69,2016-04-25,5.0
70,2016-05-02,1.0
71,2016-05-09,-1.0
72,2016-05-16,6.0
73,2016-05-23,6.0
74,2016-05-30,1.0
75,2016-06-06,1.0
76,2016-06-13,1.0
77,2016-06-20,2.0
78,2016-06-27,4.0
79,2016-07-04,1.0
80,2016-07-11,0.0
81,2016-07-18,-38.0
82,2016-07-25,4.0
83,2016-08-01,-1.0
84,2016-08-08,1.0
85,2016-08-15,2.0
86,2016-08-22,2.0
87,2016-08-29,6.0
88,2016-09-05,16.0
89,2016-09-12,14.0
90,2016-09-19,24.0
91,2016-09-26,14.0
92,2016-10-03,15.0
93,2016-10-10,18.0
94,2016-10-17,19.0
95,2016-10-24,31.0
96,2016-10-31,10.0
97,2016-11-07,16.0
98,2016-11-14,20.0
99,2016-11-21,17.0
100,2016-11-28,13.0
101,2016-12-05,15.0
102,2016-12-12,10.0
103,2016-12-19,9.0
104,2016-12-26,16.0
105,2017-01-02,18.0
106,2017-01-09,5.0
107,2017-01-16,22.0
108,2017-01-23,14.0
109,2017-01-30,9.0
110,2017-02-06,9.0
111,2017-02-13,9.0
112,2017-02-20,14.0
113,2017-02-27,17.0
114,2017-03-06,33.0
115,2017-03-13,29.0
116,2017-03-20,36.0
117,2017-03-27,38.0
118,2017-04-03,42.0
119,2017-04-10,27.0
120,2017-04-17,16.0
121,2017-04-24,14.0
122,2017-05-01,14.0
123,2017-05-08,17.0
124,2017-05-15,21.0
125,2017-05-22,14.0
126,2017-05-29,10.0
127,2017-06-05,8.0
128,2017-06-12,19.0
129,2017-06-19,12.0
130,2017-06-26,29.0
131,2017-07-03,11.0
132,2017-07-10,2.0
133,2017-07-17,5.0
134,2017-07-24,3.0
135,2017-07-31,0.0
136,2017-08-07,13.0
137,2017-08-14,3.0
138,2017-08-21,4.0
139,2017-08-28,10.0
140,2017-09-04,80.0
141,2017-09-11,48.0
142,2017-09-18,6.0
143,2017-09-25,15.0
144,2017-10-02,5.0
145,2017-10-09,8.0
146,2017-10-16,9.0
147,2017-10-23,19.0
148,2017-10-30,17.0
149,2017-11-06,3.0
150,2017-11-13,8.0
151,2017-11-20,4.0
152,2017-11-27,2.0
153,2017-12-04,10.0
154,2017-12-11,4.0
155,2017-12-18,7.0
156,2017-12-25,2.0
157,2018-01-01,9.0
158,2018-01-08,-1.0
159,2018-01-15,3.0
160,2018-01-22,6.0
161,2018-01-29,15.0
162,2018-02-05,23.0
163,2018-02-12,3.0
164,2018-02-19,19.0
165,2018-02-26,23.0
166,2018-03-05,14.0
167,2018-03-12,18.0
168,2018-03-19,13.0
169,2018-03-26,13.0
170,2018-04-02,11.0
171,2018-04-09,31.0
172,2018-04-16,22.0
173,2018-04-23,17.0
174,2018-04-30,16.0
175,2018-05-07,29.0
176,2018-05-14,27.0
177,2018-05-21,27.0
178,2018-05-28,44.0
179,2018-06-04,21.0
180,2018-06-11,58.0
181,2018-06-18,47.0
182,2018-06-25,84.0
183,2018-07-02,46.0
184,2018-07-09,27.0
185,2018-07-16,50.0
186,2018-07-23,41.0
187,2018-07-30,47.0
188,2018-08-06,27.0
189,2018-08-13,21.0
190,2018-08-20,29.0
191,2018-08-27,41.0
192,2018-09-03,40.0
193,2018-09-10,20.0
194,2018-09-17,24.0
195,2018-09-24,22.0
196,2018-10-01,64.0
197,2018-10-08,13.0
198,2018-10-15,10.0
199,2018-10-22,9.0
200,2018-10-29,18.0
201,2018-11-05,10.0
202,2018-11-12,6.0
203,2018-11-19,0.0
204,2018-11-26,21.0
205,2018-12-03,10.0
206,2018-12-10,10.0
207,2018-12-17,12.0
208,2018-12-24,4.0
209,2018-12-31,9.0
210,2019-01-07,8.0
211,2019-01-14,8.0
212,2019-01-21,5.0
213,2019-01-28,7.0
214,2019-02-04,4.0
215,2019-02-11,4.0
216,2019-02-18,7.0
217,2019-02-25,11.0
218,2019-03-04,32.0
219,2019-03-11,35.0
220,2019-03-18,38.0
221,2019-03-25,33.0
222,2019-04-01,24.0
223,2019-04-08,32.0
224,2019-04-15,47.0
225,2019-04-22,47.0
226,2019-04-29,27.0
227,2019-05-06,28.0
228,2019-05-13,23.0
229,2019-05-20,32.0
230,2019-05-27,26.0
231,2019-06-03,18.0
232,2019-06-10,33.0
233,2019-06-17,42.0
234,2019-06-24,38.0
235,2019-07-01,50.0
236,2019-07-08,59.0
237,2019-07-15,35.0
238,2019-07-22,46.0
239,2019-07-29,50.0
240,2019-08-05,37.0
241,2019-08-12,49.0
242,2019-08-19,56.0
243,2019-08-26,46.0
244,2019-09-02,39.0
245,2019-09-09,30.0
246,2019-09-16,43.0
247,2019-09-23,77.0
248,2019-09-30,74.0
249,2019-10-07,61.0
250,2019-10-14,81.0
251,2019-10-21,84.0
252,2019-10-28,62.0
253,2019-11-04,88.0
254,2019-11-11,53.0
255,2019-11-18,54.0
256,2019-11-25,70.0
257,2019-12-02,96.0
258,2019-12-09,96.0
259,2019-12-16,124.0
260,2019-12-23,126.0
261,2019-12-30,94.0
262,2020-01-06,88.0
263,2020-01-13,128.0
264,2020-01-20,89.0
265,2020-01-27,92.0
266,2020-02-03,77.0
267,2020-02-10,123.0
268,2020-02-17,86.0
269,2020-02-24,39.0
270,2020-03-02,39.0
271,2020-03-09,72.0
272,2020-03-16,66.0
273,2020-03-23,57.0
274,2020-03-30,51.0
275,2020-04-06,47.0
276,2020-04-13,34.0
277,2020-04-20,47.0
278,2020-04-27,60.0
279,2020-05-04,47.0
280,2020-05-11,52.0
281,2020-05-18,62.0
282,2020-05-25,33.0
283,2020-06-01,51.0
284,2020-06-08,35.0
285,2020-06-15,34.0
286,2020-06-22,38.0
287,2020-06-29,37.0
288,2020-07-06,50.0
289,2020-07-13,38.0
290,2020-07-20,26.0
291,2020-07-27,26.0
292,2020-08-03,26.0
293,2020-08-10,34.0
294,2020-08-17,31.0
295,2020-08-24,46.0
296,2020-08-31,25.0
297,2020-09-07,67.0
298,2020-09-14,65.0
299,2020-09-21,73.0
300,2020-09-28,38.0
301,2020-10-05,46.0
302,2020-10-12,44.0
303,2020-10-19,64.0
304,2020-10-26,64.0
305,2020-11-02,52.0
306,2020-11-09,35.0
307,2020-11-16,38.0
308,2020-11-23,46.0
309,2020-11-30,58.0
310,2020-12-07,55.0
311,2020-12-14,55.0
312,2020-12-21,45.0
313,2020-12-28,41.0
314,2021-01-04,33.0
315,2021-01-11,33.0
316,2021-01-18,53.0
317,2021-01-25,52.0
318,2021-02-01,48.0
319,2021-02-08,43.0
320,2021-02-15,66.0
321,2021-02-22,85.0
322,2021-03-01,88.0
323,2021-03-08,95.0
324,2021-03-15,101.0
325,2021-03-22,73.0
326,2021-03-29,51.0
327,2021-04-05,52.0
328,2021-04-12,52.0
329,2021-04-19,57.0
330,2021-04-26,57.0
331,2021-05-03,53.0
332,2021-05-10,64.0
333,2021-05-17,78.0
334,2021-05-24,67.0
335,2021-05-31,54.0
336,2021-06-07,50.0
337,2021-06-14,54.0
338,2021-06-21,49.0
339,2021-06-28,51.0
340,2021-07-05,60.0
341,2021-07-12,49.0
342,2021-07-19,41.0
343,2021-07-26,48.0
344,2021-08-02,39.0
345,2021-08-09,58.0
346,2021-08-16,50.0
347,2021-08-23,30.0
348,2021-08-30,56.0
349,2021-09-06,53.0
350,2021-09-13,58.0
351,2021-09-20,56.0
352,2021-09-27,67.0
353,2021-10-04,79.0
354,2021-10-11,129.0
355,2021-10-18,118.0
356,2021-10-25,105.0
357,2021-11-01,82.0
358,2021-11-08,64.0
359,2021-11-15,102.0
360,2021-11-22,51.0
361,2021-11-29,36.0
362,2021-12-06,57.0
