,base_date,판매수량
0,2014-12-29,0.0
1,2015-01-05,1.0
2,2015-01-12,5.0
3,2015-01-19,1.0
4,2015-01-26,3.0
5,2015-02-02,0.0
6,2015-02-09,5.0
7,2015-02-16,7.0
8,2015-02-23,12.0
9,2015-03-02,16.0
10,2015-03-09,12.0
11,2015-03-16,18.0
12,2015-03-23,27.0
13,2015-03-30,37.0
14,2015-04-06,32.0
15,2015-04-13,24.0
16,2015-04-20,31.0
17,2015-04-27,54.0
18,2015-05-04,26.0
19,2015-05-11,35.0
20,2015-05-18,31.0
21,2015-05-25,37.0
22,2015-06-01,24.0
23,2015-06-08,27.0
24,2015-06-15,28.0
25,2015-06-22,20.0
26,2015-06-29,38.0
27,2015-07-06,27.0
28,2015-07-13,38.0
29,2015-07-20,33.0
30,2015-07-27,22.0
31,2015-08-03,24.0
32,2015-08-10,34.0
33,2015-08-17,36.0
34,2015-08-24,16.0
35,2015-08-31,23.0
36,2015-09-07,31.0
37,2015-09-14,22.0
38,2015-09-21,11.0
39,2015-09-28,19.0
40,2015-10-05,23.0
41,2015-10-12,13.0
42,2015-10-19,7.0
43,2015-10-26,8.0
44,2015-11-02,12.0
45,2015-11-09,4.0
46,2015-11-16,12.0
47,2015-11-23,0.0
48,2015-11-30,5.0
49,2015-12-07,0.0
50,2015-12-14,9.0
51,2015-12-21,1.0
52,2015-12-28,2.0
53,2016-01-04,2.0
54,2016-01-11,2.0
55,2016-01-18,2.0
56,2016-01-25,5.0
57,2016-02-01,2.0
58,2016-02-08,11.0
59,2016-02-15,6.0
60,2016-02-22,11.0
61,2016-02-29,11.0
62,2016-03-07,83.0
63,2016-03-14,44.0
64,2016-03-21,43.0
65,2016-03-28,55.0
66,2016-04-04,46.0
67,2016-04-11,63.0
68,2016-04-18,36.0
69,2016-04-25,38.0
70,2016-05-02,27.0
71,2016-05-09,37.0
72,2016-05-16,50.0
73,2016-05-23,33.0
74,2016-05-30,21.0
75,2016-06-06,26.0
76,2016-06-13,47.0
77,2016-06-20,27.0
78,2016-06-27,42.0
79,2016-07-04,31.0
80,2016-07-11,32.0
81,2016-07-18,29.0
82,2016-07-25,23.0
83,2016-08-01,21.0
84,2016-08-08,23.0
85,2016-08-15,15.0
86,2016-08-22,35.0
87,2016-08-29,31.0
88,2016-09-05,39.0
89,2016-09-12,17.0
90,2016-09-19,53.0
91,2016-09-26,56.0
92,2016-10-03,54.0
93,2016-10-10,99.0
94,2016-10-17,74.0
95,2016-10-24,51.0
96,2016-10-31,40.0
97,2016-11-07,33.0
98,2016-11-14,40.0
99,2016-11-21,51.0
100,2016-11-28,49.0
101,2016-12-05,32.0
102,2016-12-12,43.0
